index,pred,opt_pred
0,0.041564295,100
1,0.042937893,100
2,0.042620863,100
3,0.044288139,100
4,0.039416925,100
5,0.02883364,100
6,0.036507214,100
7,0.039938224,100
8,0.044241494,100
9,0.034328586,100
10,0.041629107,100
11,0.025615077,100
12,0.042667858,100
13,0.041711601,100
14,0.032921638,100
15,0.035918772,100
16,0.038667329,100
17,0.033914297,100
18,0.042404483,100
19,0.042761826,100
20,0.038970816,100
21,0.044359672,100
22,0.043568161,100
23,0.021956102,100
24,0.045409707,100
25,0.037530326,100
26,0.036524294,100
27,0.035541397,100
28,0.042381055,100
29,0.030404005,100
30,0.043547943,100
31,0.041634645,100
32,0.041040693,100
33,0.041711601,100
34,0.038411479,100
35,0.041629107,100
36,0.043313119,100
37,0.035040578,100
38,0.026821241,100
39,0.04079718,100
40,0.042934665,100
41,0.024840208,100
42,0.03484591,100
43,0.042979353,100
44,0.038678134,100
45,0.038369797,100
46,0.041337228,100
47,0.035840263,100
48,0.039057641,100
49,0.040434369,100
50,0.044241494,100
51,0.038473918,100
52,0.029931397,100
53,0.041245524,100
54,0.038238591,100
55,0.039935408,100
56,0.038633494,100
57,0.027854726,100
58,0.042702961,100
59,0.045041311,100
60,0.035813477,100
61,0.047447855,100
62,0.032417155,100
63,0.032998485,100
64,0.032254736,100
65,0.043729468,100
66,0.042647862,100
67,0.042342919,100
68,0.042782726,100
69,0.056256973,100
70,0.051974882,100
71,0.039350122,100
72,0.022504035,100
73,0.03629484,100
74,0.045927491,100
75,0.052470194,100
76,0.041341201,100
77,0.046670579,100
78,0.027749558,100
79,0.033481883,100
80,0.042938053,100
81,0.043611131,100
82,0.042050717,100
83,0.039230996,100
84,0.033058279,100
85,0.025719173,100
86,0.043244095,100
87,0.036795487,100
88,0.030676786,100
89,0.05209197,100
90,0.043711902,100
91,0.037598617,100
92,0.034568331,100
93,0.036198116,100
94,0.045739344,100
95,0.044764223,100
96,0.033896219,100
97,0.025056572,100
98,0.034454974,100
99,0.024260176,0
100,0.038436386,0
101,0.043960242,0
102,0.037409922,0
103,0.041882645,0
104,0.038387577,0
105,0.037847227,0
106,0.033402533,0
107,0.032437688,0
108,0.025469274,0
109,0.043295452,0
110,0.043877154,0
111,0.047966021,0
112,0.034758518,0
113,0.043639846,0
114,0.043608156,0
115,0.032780329,0
116,0.042300016,0
117,0.037899746,0
118,0.033781307,0
119,0.030128113,0
120,0.024370037,0
121,0.043376499,0
122,0.038254577,0
123,0.02617212,0
124,0.030823964,0
125,0.02749921,0
126,0.030348746,0
127,0.021630717,0
128,0.051668958,0
